attendance,grades,participation,dropout_risk
78,6.563551795243195,6,no
91,6.166674080206589,7,yes
68,9.689376194794793,0,no
54,8.756270789425212,5,yes
82,7.978560881099047,7,no
47,6.317537059112638,4,yes
60,6.694009325310786,3,no
78,9.722042458113105,1,yes
97,6.856273981493477,5,no
58,4.207993456180347,5,yes
62,4.370188045632659,0,no
50,3.32213551250402,8,no
50,2.1250912539295514,5,no
63,5.387211845650957,2,yes
92,5.159052145404558,3,no
75,4.347905397744305,3,yes
79,2.1126385817206756,2,no
63,3.5907392327104413,9,yes
42,7.6907356219892,2,no
61,8.321404324249645,2,yes
92,6.847679798248091,3,yes
41,9.410407028106793,6,no
63,7.208616204015556,3,yes
83,9.319677404350246,8,yes
69,8.800308622318394,0,no
77,5.595605393105627,7,yes
41,2.7632809319232905,6,yes
99,4.966546017586131,1,yes
60,7.350730021308858,7,no
72,7.327378852939973,0,yes
51,6.730382301661817,8,no
97,4.197774343920513,8,yes
61,6.489947406781609,1,yes
83,5.063414998030319,6,yes
64,9.77369676311283,9,no
88,8.79131059412867,2,yes
66,7.773836169318986,6,yes
98,3.887879357991646,9,no
81,4.048546582090592,8,yes
67,2.3234687163074508,3,no
99,7.685303117486299,0,no
55,2.8871265664946506,1,yes
54,5.514692014926161,0,no
86,3.6137536186831696,4,yes
90,9.166108765388156,4,no
83,5.802961785456894,6,no
94,6.506204575811069,8,yes
91,7.56412869140902,8,no
96,3.1146516352470055,2,no
42,6.835339034222538,2,no
76,6.318728730413385,2,no
90,3.624489797878155,3,no
46,9.542828564463848,7,yes
60,6.790923731908288,5,no
48,7.5582794643176365,7,yes
78,9.04374271212206,0,no
57,6.994832385070346,7,yes
43,4.365069486701712,3,yes
64,2.843954078642165,0,no
99,5.652276563863282,7,no
53,3.7475234977346688,3,no
89,5.33207958296293,5,yes
97,9.066242071350946,7,no
48,4.594760168042192,3,yes
65,2.976703637605387,2,yes
92,4.850382704615799,8,yes
41,9.254627532366033,2,no
59,4.1770579950770825,8,no
67,7.181520964330899,1,yes
86,2.0041630159625266,1,yes
99,4.820550850673352,1,no
46,4.438250065264232,5,yes
83,3.317246825143534,2,no
47,6.272715355003536,8,yes
86,5.878639770871866,3,no
74,7.539488263122163,0,yes
53,4.155298670388172,3,no
56,3.9530041779821934,0,yes
75,3.3463283373834445,4,no
89,3.750113756584562,3,no
79,6.464816016138729,7,yes
43,5.2306893684643265,7,yes
41,2.5191379768718525,6,no
45,4.0313233114747575,2,yes
93,3.9750085027088096,0,no
81,7.570434182718307,0,yes
43,7.698164719395536,2,no
93,3.184695439627199,5,no
68,9.981923880391534,6,no
57,4.13424811420228,5,no
65,9.812919646661223,5,no
83,5.28829610654585,5,no
73,2.264405863204387,2,yes
49,4.760569984213464,5,yes
75,7.07481075761091,7,yes
53,7.445643612438134,1,no
70,6.247476666537091,4,no
87,5.582265316584733,0,no
54,6.423144712570624,0,no
47,6.741573791035148,4,yes
